[2025-09-11 13:27:04,861] 19 root - INFO - Initiate the data ingestion
[2025-09-11 13:27:07,053] 66 root - INFO - Performed train test split on the dataframe
[2025-09-11 13:27:07,053] 68 root - INFO - Exited split_data_as_train_test method of Data Ingestion class
[2025-09-11 13:27:07,054] 75 root - INFO - Exporting train and test file path
[2025-09-11 13:27:07,167] 84 root - INFO - Exported train and test file path
[2025-09-11 13:27:07,168] 21 root - INFO - Data Initiation Completed
[2025-09-11 13:27:07,211] 25 root - INFO - Initiate the data Validation
[2025-09-11 13:27:07,302] 32 root - INFO - Required number of columns:2
[2025-09-11 13:27:07,302] 33 root - INFO - Data frame has columns:31
[2025-09-11 13:27:07,312] 32 root - INFO - Required number of columns:2
[2025-09-11 13:27:07,312] 33 root - INFO - Data frame has columns:31
[2025-09-11 13:27:07,653] 27 root - INFO - data Validation Completed
[2025-09-11 13:27:07,653] 30 root - INFO - data Transformation started
[2025-09-11 13:27:07,653] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-09-11 13:27:07,653] 65 root - INFO - Starting data transformation
[2025-09-11 13:27:07,701] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-09-11 13:27:07,701] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-11 13:27:07,740] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-09-11 13:27:07,746] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-09-11 13:27:07,746] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-09-11 13:27:07,752] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-09-11 13:27:07,755] 34 root - INFO - data Transformation completed
[2025-09-11 13:27:07,755] 36 root - INFO - Model Training started
[2025-09-11 13:30:22,013] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-09-11 13:30:22,014] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-09-11 13:30:22,014] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-09-11 13:30:22,042] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-09-11 13:30:22,042] 124 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\09_11_2025_13_26_44\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913784359468506, precision_score=0.9894715529459405, recall_score=0.9932926829268293), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9768, precision_score=0.9667458432304038, recall_score=0.9870654810024252))
[2025-09-11 13:30:22,046] 41 root - INFO - Model Training artifact created
